Fund,Service,Department,Program,Account Description,Fiscal Year Range,Division,Service Area,Org Code,Fund Code,Project Code,Project Description,Program Code,Program Description,Account Type,Account Code,Amount,Budget Type,Budget Name,Amount as number,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,9342942,3,Proposed,9342942,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3452735,3,Proposed,3452735,,,
General Fund,Administration,Finance General,Appropriation to Special Funds,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3688857,3,Proposed,3688857,,,
General Fund,Administration,Ethics and Elections,Ethics and Elections,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1010671,3,Proposed,1010671,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,619796,3,Proposed,619796,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,11250351,3,Proposed,11250351,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,21226694,3,Proposed,21226694,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,12800000,3,Proposed,12800000,,,
General Fund,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8826112,3,Proposed,8826112,,,
General Fund,Utilities & Transportation,Public Utilities,Water Resources,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8372108,3,Proposed,8372108,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,542368,3,Proposed,542368,,,
General Fund,Public Safety,Police,South Precinct,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18018615,3,Proposed,18018615,,,
General Fund,Administration,Civil Service Commissions,Civil Service Commissions,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,493186,3,Proposed,493186,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6249808,3,Proposed,6249808,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7469534,3,Proposed,7469534,,,
General Fund,Administration,Finance and Administrative Services,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,10259948,3,Proposed,10259948,,,
General Fund,Neighborhoods & Development,Planning and Community Development,Planning and Community Development,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,565670,3,Proposed,565670,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2259609,3,Proposed,2259609,,,
General Fund,Administration,Finance and Administrative Services,Public Safety Facilities - Police,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Public Safety,Community Police Commission,Office of the Community Police Commission,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1500735,3,Proposed,1500735,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Inspections,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,21264659,3,Proposed,21264659,,,
General Fund,Education & Human Services,Human Services,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7712270,3,Proposed,7712270,,,
General Fund,Administration,Employees' Retirement,Employee Benefit Management,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,20947908,3,Proposed,20947908,,,
General Fund,Administration,Human Resources,Unemployment Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2130000,3,Proposed,2130000,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5949982,3,Proposed,5949982,,,
General Fund,Public Safety,Police,North Precinct,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,33475478,3,Proposed,33475478,,,
General Fund,Utilities & Transportation,Transportation,Maintenance Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5847777,3,Proposed,5847777,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,-15613,3,Proposed,-15613,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Fix It First,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,39905565,3,Proposed,39905565,,,
General Fund,Neighborhoods & Development,Housing,Multifamily Housing,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7148861,3,Proposed,7148861,,,
General Fund,Administration,Human Resources,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Finance and Administrative Services,Fleet Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,27670545,3,Proposed,27670545,,,
General Fund,Education & Human Services,Human Services,Supporting Safe Communities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2470006,3,Proposed,2470006,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Information Technology,Digital Engagement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,787145,3,Proposed,787145,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Land Use Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18253322,3,Proposed,18253322,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1680078,3,Proposed,1680078,,,
General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5710232,3,Proposed,5710232,,,
General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5692001,3,Proposed,5692001,,,
General Fund,Administration,Information Technology,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4392770,3,Proposed,4392770,,,
General Fund,Administration,Finance and Administrative Services,Facilities Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,19766644,3,Proposed,19766644,,,
General Fund,"Arts, Culture & Recreation",Library,Administrative/Support Service,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1330648,3,Proposed,1330648,,,
General Fund,"Arts, Culture & Recreation",Library,Human Resources,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2038803,3,Proposed,2038803,,,
General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5051238,3,Proposed,5051238,,,
General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,727469,3,Proposed,727469,,,
General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4965350,3,Proposed,4965350,,,
General Fund,Administration,Finance and Administrative Services,Jail Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18618878,3,Proposed,18618878,,,
General Fund,Neighborhoods & Development,Neighborhoods,Community Building,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,137148,3,Proposed,137148,,,
General Fund,Utilities & Transportation,Public Utilities,General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4806065,3,Proposed,4806065,,,
General Fund,Administration,Human Resources,HR Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2349056,3,Proposed,2349056,,,
General Fund,"Arts, Culture & Recreation",Library,Library Program and Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,17896872,3,Proposed,17896872,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2368255,3,Proposed,2368255,,,
General Fund,Administration,Legislative,Legislative Department,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3580401,3,Proposed,3580401,,,
General Fund,Utilities & Transportation,Transportation,Maintenance Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4804480,3,Proposed,4804480,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,9540000,3,Proposed,9540000,,,
General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4060069,3,Proposed,4060069,,,
General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4670026,3,Proposed,4670026,,,
General Fund,Administration,Information Technology,IT Initiatives,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,14538922,3,Proposed,14538922,,,
General Fund,Administration,Finance General,Appropriation to Special Funds,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6761855,3,Proposed,6761855,,,
General Fund,Administration,Finance General,Appropriation to Special Funds,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,19079309,3,Proposed,19079309,,,
General Fund,Administration,Finance and Administrative Services,Neighborhood Fire Stations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3393967,3,Proposed,3393967,,,
General Fund,Administration,Auditor,Office of the City Auditor,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2612742,3,Proposed,2612742,,,
General Fund,Administration,Finance and Administrative Services,Public Safety Facilities - Fire,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Labor Standards,Office of Labor Standards,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1500000,3,Proposed,1500000,,,
General Fund,Education & Human Services,Human Services,Supporting Safe Communities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5201137,3,Proposed,5201137,,,
General Fund,Education & Human Services,Human Services,Emergency Preparedness and Provider Support,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Utilities & Transportation,Transportation,Maintenance Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4636759,3,Proposed,4636759,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1578808,3,Proposed,1578808,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7414068,3,Proposed,7414068,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,954496,3,Proposed,954496,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4516945,3,Proposed,4516945,,,
General Fund,Administration,Information Technology,Capital Improvement Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4500000,3,Proposed,4500000,,,
General Fund,Education & Human Services,Human Services,Promoting Healthy Aging,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,10335940,3,Proposed,10335940,,,
General Fund,Neighborhoods & Development,Neighborhoods,Community Building,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,107876,3,Proposed,107876,,,
General Fund,Utilities & Transportation,Public Utilities,New Facilities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3540947,3,Proposed,3540947,,,
General Fund,Administration,Human Resources,Industrial Insurance Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,23266654,3,Proposed,23266654,,,
General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,813506,3,Proposed,813506,,,
General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3442178,3,Proposed,3442178,,,
General Fund,Utilities & Transportation,Public Utilities,Habitat Conservation Program,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3023995,3,Proposed,3023995,,,
General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18000,3,Proposed,18000,,,
General Fund,Administration,Finance and Administrative Services,FileLocal Agency,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,404913,3,Proposed,404913,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,231359,3,Proposed,231359,,,
General Fund,Utilities & Transportation,Seattle Streetcar,South Lake Union Streetcar Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2793955,3,Proposed,2793955,,,
General Fund,Administration,Information Technology,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7874538,3,Proposed,7874538,,,
General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2606019,3,Proposed,2606019,,,
General Fund,Administration,Finance and Administrative Services,Fleet Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,11176071,3,Proposed,11176071,,,
General Fund,Public Safety,Law,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3059833,3,Proposed,3059833,,,
General Fund,Education & Human Services,Human Services,Preparing Youth for Success,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5320032,3,Proposed,5320032,,,
General Fund,Administration,Finance and Administrative Services,City Purchasing and Contracting Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6820277,3,Proposed,6820277,,,
General Fund,Administration,Human Resources,HR Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7709109,3,Proposed,7709109,,,
General Fund,Administration,Finance and Administrative Services,Asset Preservation - Schedule 1 Facilities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8252000,3,Proposed,8252000,,,
General Fund,Neighborhoods & Development,Construction and Inspections,"Government Policy, Safety & Support",2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2612607,3,Proposed,2612607,,,
General Fund,Administration,Information Technology,Digital Engagement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2318604,3,Proposed,2318604,,,
General Fund,Administration,Human Resources,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5093661,3,Proposed,5093661,,,
General Fund,Education & Human Services,Human Services,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2468932,3,Proposed,2468932,,,
General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1047000,3,Proposed,1047000,,,
General Fund,Administration,Finance and Administrative Services,City Finance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1842456,3,Proposed,1842456,,,
General Fund,Administration,Mayor,Office of the Mayor,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7091290,3,Proposed,7091290,,,
General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2194274,3,Proposed,2194274,,,
General Fund,Public Safety,Law,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2362438,3,Proposed,2362438,,,
General Fund,Public Safety,Police,Chief of Police,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,9946215,3,Proposed,9946215,,,
General Fund,Utilities & Transportation,Public Utilities,Water Quality & Treatment,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1660000,3,Proposed,1660000,,,
General Fund,Public Safety,Police,Compliance and Professional Standards Bureau,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3335863,3,Proposed,3335863,,,
General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3512451,3,Proposed,3512451,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2653001,3,Proposed,2653001,,,
General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1552534,3,Proposed,1552534,,,
General Fund,Administration,Finance and Administrative Services,Garden of Remembrance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,28394,3,Proposed,28394,,,
General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1192905,3,Proposed,1192905,,,
General Fund,Public Safety,Law,Criminal,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7876048,3,Proposed,7876048,,,
General Fund,Public Safety,Police,Violent Crimes,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8443069,3,Proposed,8443069,,,
General Fund,Administration,Finance General,Appropriation to Special Funds,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,13893672,3,Proposed,13893672,,,
General Fund,Administration,Finance and Administrative Services,Asset Preservation - Schedule 2 Facilities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6948000,3,Proposed,6948000,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Permit Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3666136,3,Proposed,3666136,,,
General Fund,Education & Human Services,Human Services,Supporting Safe Communities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1570192,3,Proposed,1570192,,,
General Fund,Utilities & Transportation,Public Utilities,Watershed Stewardship,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1192633,3,Proposed,1192633,,,
General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,453000,3,Proposed,453000,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,15421284,3,Proposed,15421284,,,
General Fund,Education & Human Services,Human Services,Addressing Homelessness,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,58388003,3,Proposed,58388003,,,
General Fund,Utilities & Transportation,Public Utilities,Rehabilitation & Heavy Equipment,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,325000,3,Proposed,325000,,,
General Fund,Public Safety,Firefighters Pension,Firefighters Pension,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,869309,3,Proposed,869309,,,
General Fund,"Funds, Subfunds and Other",Debt Service,Debt Issuance Costs - LTGO,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1265729,3,Proposed,1265729,,,
General Fund,Utilities & Transportation,Transportation,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Maintaining Parks and Facilities,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,330000,3,Proposed,330000,,,
General Fund,Neighborhoods & Development,Neighborhoods,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2236821,3,Proposed,2236821,,,
General Fund,Public Safety,Firefighters Pension,Firefighters Pension,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,19000,3,Proposed,19000,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Public Art,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2550869,3,Proposed,2550869,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,444118,3,Proposed,444118,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,"Funds, Subfunds and Other",Debt Service,2019 Debt Issuance Cost - LTGO - Taxable,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,330000,3,Proposed,330000,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Claims,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1792109,3,Proposed,1792109,,,
