Fiscal Year,Fund,Service,Department,Program,Expense Category,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Paid Time Off,Tax-Supported Fund,Operating Expense,Paid Time Off,,10259948
2019,General Fund,Neighborhoods & Development,Planning and Community Development,Planning and Community Development,Planning Commission Management,Tax-Supported Fund,Operating Expense,Planning Commission Management,,565670.0002
2019,General Fund,Administration,Finance General,Reserves,Department of Justice Settlement Agreement/Police Accountability,Tax-Supported Fund,Operating Expense,Department of Justice Settlement Agreement/Police Accountability,,2259609
2019,General Fund,Administration,Finance and Administrative Services,Public Safety Facilities - Police,Publ Safety Facilities_Police,Tax-Supported Fund,Operating Expense,Publ Safety Facilities_Police,,0
2019,General Fund,Public Safety,Community Police Commission,Office of the Community Police Commission,Office of the Community Police,Tax-Supported Fund,Operating Expense,Office of the Community Police,,1500735
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Inspections,Inspections,Tax-Supported Fund,Operating Expense,Inspections,,21264659.4
2019,General Fund,Education & Human Services,Human Services,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,7712270
2019,General Fund,Administration,Employees' Retirement,Employee Benefit Management,Employee Benefit Management,Tax-Supported Fund,Operating Expense,Employee Benefit Management,,20947908
2019,General Fund,Administration,Human Resources,Unemployment Services,Unemployment Services,Tax-Supported Fund,Operating Expense,Unemployment Services,,2130000
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Operations Support,Tax-Supported Fund,Operating Expense,Operations Support,,4804480
2019,General Fund,Public Safety,Police,North Precinct,North Precinct,Tax-Supported Fund,Operating Expense,North Precinct,,33475478
2019,General Fund,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct,Tax-Supported Fund,Operating Expense,Alaskan Way Viaduct,,57469718
2019,General Fund,Administration,Information Technology,Engineering and Operations,Divisional Indirect - Engineering & Operations,Tax-Supported Fund,Operating Expense,Divisional Indirect - Engineering & Operations,,-15613
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Fix It First,Fix It First - CIP,Tax-Supported Fund,Operating Expense,Fix It First - CIP,,39905565.44
2019,General Fund,Neighborhoods & Development,Housing,Multifamily Housing,Asset Management,Tax-Supported Fund,Operating Expense,Asset Management,,7148861
2019,General Fund,Administration,Human Resources,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,0
2019,General Fund,Administration,Finance and Administrative Services,Fleet Services,Vehicle Maintenance,Tax-Supported Fund,Operating Expense,Vehicle Maintenance,,27670545
2019,General Fund,Education & Human Services,Human Services,Supporting Safe Communities,Supportive Services,Tax-Supported Fund,Operating Expense,Supportive Services,,2470006
2019,General Fund,Administration,Finance General,Reserves,"Seattle Leadership, Intervention, and Change Summit",Tax-Supported Fund,Operating Expense,"Seattle Leadership, Intervention, and Change Summit",,0
2019,General Fund,Administration,Information Technology,Digital Engagement,Privacy,Tax-Supported Fund,Operating Expense,Privacy,,787145
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Land Use Services,Land Use Services,Tax-Supported Fund,Operating Expense,Land Use Services,,18253322.18
2019,General Fund,Administration,Finance General,Reserves,Sweetened Beverage Tax Community Advisory Board Recommendation,Tax-Supported Fund,Operating Expense,Sweetened Beverage Tax Community Advisory Board Recommendation,,0
2019,General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,Home Ownership,Tax-Supported Fund,Operating Expense,Home Ownership,,1680078.236
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Corridor & Intersection Improvements,Tax-Supported Fund,Operating Expense,Corridor & Intersection Improvements,,23076244
2019,General Fund,Utilities & Transportation,Transportation,General Expense,Debt Service,Tax-Supported Fund,Operating Expense,Debt Service,,35028548
2019,General Fund,Administration,Information Technology,Leadership and Administration,CTO / Executive Team,Tax-Supported Fund,Operating Expense,CTO / Executive Team,,4392770
2019,General Fund,Administration,Finance and Administrative Services,Facilities Services,Other Facilities Services,Tax-Supported Fund,Operating Expense,Other Facilities Services,,19766644
2019,General Fund,"Arts, Culture & Recreation",Library,Administrative/Support Service,Business Office,Tax-Supported Fund,Operating Expense,Business Office,,1330648
2019,General Fund,"Arts, Culture & Recreation",Library,Human Resources,Human Resources,Tax-Supported Fund,Operating Expense,Human Resources,,2038803
2019,General Fund,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,,15564659.67
2019,General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,Home Repair,Tax-Supported Fund,Operating Expense,Home Repair,,727468.6626
2019,General Fund,Utilities & Transportation,Transportation,General Expense,Citywide Initiatives,Tax-Supported Fund,Operating Expense,Citywide Initiatives,,0
2019,General Fund,Administration,Finance and Administrative Services,Jail Services,Jail Services,Tax-Supported Fund,Operating Expense,Jail Services,,18618878
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,HALA,Tax-Supported Fund,Operating Expense,HALA,,137148
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Transit Operations,Tax-Supported Fund,Operating Expense,Transit Operations,,52120211
2019,General Fund,Administration,Human Resources,HR Services,Labor Relations,Tax-Supported Fund,Operating Expense,Labor Relations,,2349056
2019,General Fund,"Arts, Culture & Recreation",Library,Library Program and Services,Collections and Access,Tax-Supported Fund,Operating Expense,Collections and Access,,17896872
2019,General Fund,Public Safety,Fire,Fire Prevention,Special Hazards,Tax-Supported Fund,Operating Expense,Special Hazards,,2368255
2019,General Fund,Administration,Legislative,Legislative Department,City Clerk,Tax-Supported Fund,Operating Expense,City Clerk,,3580401
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Pavement Management/Repair,Tax-Supported Fund,Operating Expense,Pavement Management/Repair,,14321050
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,,9540000
2019,General Fund,Neighborhoods & Development,Housing,Homeownership & Sustainability,Weatherization,Tax-Supported Fund,Operating Expense,Weatherization,,4060069
2019,General Fund,Utilities & Transportation,City Light,Short-Term Purchased Power,SHORT TERM PURCH PWR OPS O&M,Tax-Supported Fund,Operating Expense,SHORT TERM PURCH PWR OPS O&M,,40406121
2019,General Fund,Administration,Information Technology,IT Initiatives,Project Services,Tax-Supported Fund,Operating Expense,Project Services,,14538922
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Judgment/Claims Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Fund,,6761855
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Firefighters Pension Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,,19079309
2019,General Fund,Administration,Finance and Administrative Services,Neighborhood Fire Stations,Neighborhood Fire Stations,Tax-Supported Fund,Operating Expense,Neighborhood Fire Stations,,3393967
2019,General Fund,Administration,Auditor,Office of the City Auditor,Office of the City Auditor,Tax-Supported Fund,Operating Expense,Office of the City Auditor,,2612742
2019,General Fund,Administration,Finance and Administrative Services,Public Safety Facilities - Fire,Public Safety Facilities_Fire,Tax-Supported Fund,Operating Expense,Public Safety Facilities_Fire,,0
2019,General Fund,Administration,Labor Standards,Office of Labor Standards,Community Outreach and Education Fund Contracts,Tax-Supported Fund,Operating Expense,Community Outreach and Education Fund Contracts,,1500000
2019,General Fund,Education & Human Services,Human Services,Supporting Safe Communities,Advocacy,Tax-Supported Fund,Operating Expense,Advocacy,,5201137
2019,General Fund,Education & Human Services,Human Services,Emergency Preparedness and Provider Support,Emergency Preparedness and Program Administration,Tax-Supported Fund,Operating Expense,Emergency Preparedness and Program Administration,,0
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Pre-Capital Planning,Tax-Supported Fund,Operating Expense,Pre-Capital Planning,,4670025.58
2019,General Fund,Administration,Information Technology,Engineering and Operations,Engineering and Operations Maintenance,Tax-Supported Fund,Operating Expense,Engineering and Operations Maintenance,,1578808
2019,General Fund,Administration,Information Technology,Engineering and Operations,Operations Support,Tax-Supported Fund,Operating Expense,Operations Support,,7414068
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,954496
2019,General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,ENVIRO AFFAIRS OPS O&M,Tax-Supported Fund,Operating Expense,ENVIRO AFFAIRS OPS O&M,,4965349.568
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Programmatic Initiatives CIP,Tax-Supported Fund,Operating Expense,Programmatic Initiatives CIP,,4500000
2019,General Fund,Education & Human Services,Human Services,Promoting Healthy Aging,Healthy Aging,Tax-Supported Fund,Operating Expense,Healthy Aging,,10335940
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Participatory Budgeting,Tax-Supported Fund,Operating Expense,Participatory Budgeting,,107876
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,XSMN & DIST FLEET O&M,Tax-Supported Fund,Operating Expense,XSMN & DIST FLEET O&M,,16067349.33
2019,General Fund,Administration,Human Resources,Industrial Insurance Services,Industrial Insurance Services,Tax-Supported Fund,Operating Expense,Industrial Insurance Services,,23266654
2019,General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,Leadership and Administration,Tax-Supported Fund,Operating Expense,Leadership and Administration,,813506
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Supply & Transmssn Systm,Tax-Supported Fund,Operating Expense,Water Supply & Transmssn Systm,,5710231.833
2019,General Fund,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,Tax-Supported Fund,Operating Expense,Water Resources,,8372108
2019,General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,Tax-Supported Fund,Operating Expense,Death Benefits,,18000
2019,General Fund,Administration,Finance and Administrative Services,FileLocal Agency,Prog-FileLocal Agency Fund,Tax-Supported Fund,Operating Expense,Prog-FileLocal Agency Fund,,404913
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Communication Outreach and Eve,Tax-Supported Fund,Operating Expense,Communication Outreach and Eve,,231359
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,NETWORK,Tax-Supported Fund,Operating Expense,NETWORK,,24493579
2019,General Fund,Administration,Information Technology,Leadership and Administration,Business Office,Tax-Supported Fund,Operating Expense,Business Office,,7874538
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Ped Facilities,Tax-Supported Fund,Operating Expense,Sidewalks & Ped Facilities,,34735728
2019,General Fund,Administration,Finance and Administrative Services,Fleet Services,Vehicle Fueling,Tax-Supported Fund,Operating Expense,Vehicle Fueling,,11176071
2019,General Fund,Public Safety,Law,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,3059833
2019,General Fund,Education & Human Services,Human Services,Preparing Youth for Success,Family Support,Tax-Supported Fund,Operating Expense,Family Support,,5320032
2019,General Fund,Administration,Finance and Administrative Services,City Purchasing and Contracting Services,Contracting Services,Tax-Supported Fund,Operating Expense,Contracting Services,,6820277
2019,General Fund,Administration,Human Resources,HR Services,HR Shared/Admin Services,Tax-Supported Fund,Operating Expense,HR Shared/Admin Services,,7709109
2019,General Fund,Administration,Finance and Administrative Services,Asset Preservation - Schedule 1 Facilities,Asset Preserv_Sch 1 Facilities,Tax-Supported Fund,Operating Expense,Asset Preserv_Sch 1 Facilities,,8252000
2019,General Fund,Neighborhoods & Development,Construction and Inspections,"Government Policy, Safety & Support","Govt Policy, Safety & Support",Tax-Supported Fund,Operating Expense,"Govt Policy, Safety & Support",,2612606.804
2019,General Fund,Administration,Information Technology,Digital Engagement,Broadband & Community Technology,Tax-Supported Fund,Operating Expense,Broadband & Community Technology,,2318604
2019,General Fund,Administration,Human Resources,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,5093661
2019,General Fund,Education & Human Services,Human Services,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,0
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,Utility Expenses Reimbursable,Tax-Supported Fund,Operating Expense,Utility Expenses Reimbursable,,2468932
2019,General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,0
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Armory Rehabilitation,Tax-Supported Fund,Operating Expense,Armory Rehabilitation,,1047000
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Risk Management Services,Tax-Supported Fund,Operating Expense,Risk Management Services,,1842456
2019,General Fund,Administration,Mayor,Office of the Mayor,Office of the Mayor,Tax-Supported Fund,Operating Expense,Office of the Mayor,,7091290
2019,General Fund,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,,3023995
2019,General Fund,Public Safety,Law,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,2362438
2019,General Fund,Public Safety,Police,Chief of Police,Chief of Police,Tax-Supported Fund,Operating Expense,Chief of Police,,9946215
2019,General Fund,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,Tax-Supported Fund,Operating Expense,New Facilities,,3540947
2019,General Fund,Public Safety,Police,Compliance and Professional Standards Bureau,Compliance & Prof. Standards,Tax-Supported Fund,Operating Expense,Compliance & Prof. Standards,,3335863
2019,General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,Community Facilities,Tax-Supported Fund,Operating Expense,Community Facilities,,3512451
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,2653000.762
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,BOUNDARY,Tax-Supported Fund,Operating Expense,BOUNDARY,,48479995
2019,General Fund,Administration,Finance and Administrative Services,Garden of Remembrance,Garden of Remembrance,Tax-Supported Fund,Operating Expense,Garden of Remembrance,,28394
2019,General Fund,Utilities & Transportation,Public Utilities,Rehabilitation & Heavy Equipment,Rehabilitation & Heavy Eqpt,Tax-Supported Fund,Operating Expense,Rehabilitation & Heavy Eqpt,,325000
2019,General Fund,Public Safety,Law,Criminal,Criminal,Tax-Supported Fund,Operating Expense,Criminal,,7876048
2019,General Fund,Public Safety,Police,Violent Crimes,Violent Crimes,Tax-Supported Fund,Operating Expense,Violent Crimes,,8443069
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Finance and Administrative Services Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,,13893672
2019,General Fund,Administration,Finance and Administrative Services,Asset Preservation - Schedule 2 Facilities,Asset Preserv_Sch 2 Facilities,Tax-Supported Fund,Operating Expense,Asset Preserv_Sch 2 Facilities,,6948000
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Permit Services,Permit Services CBA,Tax-Supported Fund,Operating Expense,Permit Services CBA,,3666135.6
2019,General Fund,Education & Human Services,Human Services,Supporting Safe Communities,Prevention and Intervention,Tax-Supported Fund,Operating Expense,Prevention and Intervention,,1570192
2019,General Fund,Utilities & Transportation,Transportation,Bridges & Structures,Engineering & Ops Support,Tax-Supported Fund,Operating Expense,Engineering & Ops Support,,35010748
2019,General Fund,Utilities & Transportation,Public Utilities,Distribution,Distribution,Tax-Supported Fund,Operating Expense,Distribution,,36177685
2019,General Fund,Public Safety,Fire,Operations,Operations Activities,Tax-Supported Fund,Operating Expense,Operations Activities,,15421284
2019,General Fund,Education & Human Services,Human Services,Addressing Homelessness,Shelters & Housing,Tax-Supported Fund,Operating Expense,Shelters & Housing,,58388003
2019,General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Landslide Mitigation,Tax-Supported Fund,Operating Expense,Landslide Mitigation,,453000
2019,General Fund,Public Safety,Firefighters Pension,Firefighters Pension,Leadership and Administration,Tax-Supported Fund,Operating Expense,Leadership and Administration,,869309
2019,General Fund,"Funds, Subfunds and Other",Debt Service,Debt Issuance Costs - LTGO,LTGO Debt Issuance Cost,Tax-Supported Fund,Operating Expense,LTGO Debt Issuance Cost,,1265729
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,SERVICE CONNECTIONS,Tax-Supported Fund,Operating Expense,SERVICE CONNECTIONS,,50458459
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Maintaining Parks and Facilities,Maintaining Parks & Facilities,Tax-Supported Fund,Operating Expense,Maintaining Parks & Facilities,,330000
2019,General Fund,Neighborhoods & Development,Neighborhoods,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,2236821
2019,General Fund,Public Safety,Firefighters Pension,Firefighters Pension,Death Benefits,Tax-Supported Fund,Operating Expense,Death Benefits,,19000
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Public Art,Public Art,Tax-Supported Fund,Operating Expense,Public Art,,2550869
2019,General Fund,Administration,Finance General,Reserves,Seattle Indian Services Commission Debt Service Payment,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission Debt Service Payment,,444118
2019,General Fund,Administration,Finance General,Reserves,Seattle Retirement Savings Plan,Tax-Supported Fund,Operating Expense,Seattle Retirement Savings Plan,,0
2019,General Fund,"Funds, Subfunds and Other",Debt Service,2019 Debt Issuance Cost - LTGO - Taxable,LTGO Debt Issuance Cost - 2019 Taxable,Tax-Supported Fund,Operating Expense,LTGO Debt Issuance Cost - 2019 Taxable,,330000
2019,General Fund,Administration,Finance and Administrative Services,Judgment & Claims Claims,GF Claims,Tax-Supported Fund,Operating Expense,GF Claims,,1792109
2019,General Fund,Utilities & Transportation,Transportation,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,40837629
2019,General Fund,Neighborhoods & Development,Planning and Community Development,Design Commission,Design Commission,Tax-Supported Fund,Operating Expense,Design Commission,,546135.9953
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,3448375
2019,General Fund,Utilities & Transportation,Transportation,Mobility-Capital,Freight Mobility,Tax-Supported Fund,Operating Expense,Freight Mobility,,38267051
2019,General Fund,Utilities & Transportation,Transportation,Major Projects,Mercer West,Tax-Supported Fund,Operating Expense,Mercer West,,0
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Monorail Rehabilitation,Monorail Rehabilitation,Tax-Supported Fund,Operating Expense,Monorail Rehabilitation,,1255000
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,1886988
2019,General Fund,Education & Human Services,Human Services,Leadership and Administration,Divisional Indirect Costs,Tax-Supported Fund,Operating Expense,Divisional Indirect Costs,,0
2019,General Fund,Administration,Finance and Administrative Services,Summit Re-Implementation Department Capital Needs,Summit Re-Implementation Department Capital Needs,Tax-Supported Fund,Operating Expense,Summit Re-Implementation Department Capital Needs,,0
2019,General Fund,"Funds, Subfunds and Other",Debt Service,2020 Debt Issuance Cost - LTGO - Taxable,LTGO Debt Issuance Cost - 2020 Taxable,Tax-Supported Fund,Operating Expense,LTGO Debt Issuance Cost - 2020 Taxable,,
2019,General Fund,Utilities & Transportation,Transportation,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-100768396
2019,General Fund,Utilities & Transportation,Transportation,Major Projects,SR-520,Tax-Supported Fund,Operating Expense,SR-520,,1283999
2019,General Fund,Administration,Finance and Administrative Services,Wheelchair Accessible Services,Wheelchair Accessible Svcs,Tax-Supported Fund,Operating Expense,Wheelchair Accessible Svcs,,1625424
2019,General Fund,Public Safety,Firefighters Pension,Firefighters Pension,Pensions,Tax-Supported Fund,Operating Expense,Pensions,,7800000
2019,General Fund,Public Safety,Municipal Court,Court Operations,Court Operations,Tax-Supported Fund,Operating Expense,Court Operations,,15452451
2019,General Fund,Administration,Finance and Administrative Services,Facilities Services,Space Rent,Tax-Supported Fund,Operating Expense,Space Rent,,61823904
2019,General Fund,Education & Human Services,Human Services,Leadership and Administration,Indirect Cost Recovery,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery,,0
2019,General Fund,Administration,City Budget Office,City Budget Office,City Budget Office,Tax-Supported Fund,Operating Expense,City Budget Office,,6795423
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Citywide IT Initiatives CIP,Tax-Supported Fund,Operating Expense,Citywide IT Initiatives CIP,,7050029
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,P-Patch,Tax-Supported Fund,Operating Expense,P-Patch,,881748
2019,General Fund,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,Tax-Supported Fund,Operating Expense,Structures Engineering,,957145
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,PACE,Tax-Supported Fund,Operating Expense,PACE,,141254
2019,General Fund,Education & Human Services,Human Services,Addressing Homelessness,Homelessness Prevention and Support,Tax-Supported Fund,Operating Expense,Homelessness Prevention and Support,,19101755
2019,General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,Pensions,Tax-Supported Fund,Operating Expense,Pensions,,6500000
2019,General Fund,Utilities & Transportation,Transportation,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,15265079
2019,General Fund,Neighborhoods & Development,Housing,Leadership and Administration,Policy & Planning,Tax-Supported Fund,Operating Expense,Policy & Planning,,801541
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,XSMN & DIST PWR DIST OPS O&M,Tax-Supported Fund,Operating Expense,XSMN & DIST PWR DIST OPS O&M,,52006927.17
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Engineering,Tax-Supported Fund,Operating Expense,Engineering,,7045536.686
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Drainage System,Tax-Supported Fund,Operating Expense,Drainage System,,10102720.14
2019,General Fund,Neighborhoods & Development,Neighborhoods,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,1499640
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,,4731826
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Workers Compensation Total Disability Claims,Tax-Supported Fund,Operating Expense,Recurring Reserve-Workers Compensation Total Disability Claims,,500000
2019,General Fund,Public Safety,Police,Special Operations,Special Operations,Tax-Supported Fund,Operating Expense,Special Operations,,53204368
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Partnerships - Recreation,Tax-Supported Fund,Operating Expense,Partnerships - Recreation,,1060585.96
2019,General Fund,Administration,Finance and Administrative Services,Fleet Services,Motorpool,Tax-Supported Fund,Operating Expense,Motorpool,,856824
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Seattle Conservation Corps,Seattle Conservation Corps,Tax-Supported Fund,Operating Expense,Seattle Conservation Corps,,3902707.66
2019,General Fund,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,Tax-Supported Fund,Operating Expense,Structures Maintenance,,7301038
2019,General Fund,Administration,Finance and Administrative Services,FAS Project Delivery Services,FAS Project Delivery Services,Tax-Supported Fund,Operating Expense,FAS Project Delivery Services,,3500000
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Cost Center Maintenance and Repairs,M&R Specialty Crews,Tax-Supported Fund,Operating Expense,M&R Specialty Crews,,4503857.67
2019,General Fund,Administration,Legislative,Legislative Department,City Council,Tax-Supported Fund,Operating Expense,City Council,,5518704
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Urban Planning,Tax-Supported Fund,Operating Expense,Urban Planning,,4060094
2019,General Fund,Administration,Civil Rights,Civil Rights,RSJI,Tax-Supported Fund,Operating Expense,RSJI,,1060057.802
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Revenue Administration,Tax-Supported Fund,Operating Expense,Revenue Administration,,5800581
2019,General Fund,Public Safety,Police,Special Investigations,Special Investigations,Tax-Supported Fund,Operating Expense,Special Investigations,,8398426
2019,General Fund,"Arts, Culture & Recreation",Library,Chief Librarians Office,Chief Librarians Office,Tax-Supported Fund,Operating Expense,Chief Librarians Office,,479785
2019,General Fund,Public Safety,Fire,Operations,Battalion 7,Tax-Supported Fund,Operating Expense,Battalion 7,,21576587
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Major Contracts,Tax-Supported Fund,Operating Expense,Major Contracts,,288635714
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Wastewater System,Tax-Supported Fund,Operating Expense,Wastewater System,,15075017.9
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Rec Programs & Facility Ops,Tax-Supported Fund,Operating Expense,Rec Programs & Facility Ops,,25384913.69
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,Divisional Indirect,Tax-Supported Fund,Operating Expense,Divisional Indirect,,1799819.441
2019,General Fund,Neighborhoods & Development,Economic Development,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,714135
2019,General Fund,Administration,Ethics and Elections,Democracy Vouchers,Democracy Vouchers,Tax-Supported Fund,Operating Expense,Democracy Vouchers,,5456062
2019,General Fund,Administration,Information Technology,Digital Engagement,Seattle Channel,Tax-Supported Fund,Operating Expense,Seattle Channel,,3115626
2019,General Fund,Utilities & Transportation,Public Utilities,General Expense,Debt Service,Tax-Supported Fund,Operating Expense,Debt Service,,179931914
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Festivals,Tax-Supported Fund,Operating Expense,Festivals,,1289701.992
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Traffic Signals,Tax-Supported Fund,Operating Expense,Traffic Signals,,9289651
2019,General Fund,Neighborhoods & Development,Housing,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,764478
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Facilities & Equip,Tax-Supported Fund,Operating Expense,Water Facilities & Equip,,3257662.406
2019,General Fund,Utilities & Transportation,Transportation,Maintenance Operations,Street Cleaning,Tax-Supported Fund,Operating Expense,Street Cleaning,,7616728
2019,General Fund,Utilities & Transportation,City Light,Environmental Affairs O&M,ENVIRO AFFAIRS ADMIN O&M,Tax-Supported Fund,Operating Expense,ENVIRO AFFAIRS ADMIN O&M,,8792525.949
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,KeyArena,KeyArena,Tax-Supported Fund,Operating Expense,KeyArena,,-0.381200001
2019,General Fund,Administration,Finance and Administrative Services,City Finance,Treasury Services,Tax-Supported Fund,Operating Expense,Treasury Services,,5968379
2019,General Fund,"Arts, Culture & Recreation",Arts and Culture,Cultural Space,Cultural Space,Tax-Supported Fund,Operating Expense,Cultural Space,,1267864
2019,General Fund,Public Safety,Police,Special Victims,Special Victims,Tax-Supported Fund,Operating Expense,Special Victims,,6954301
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,FINANCIAL SERVICES ADMIN O&M,Tax-Supported Fund,Operating Expense,FINANCIAL SERVICES ADMIN O&M,,3193417
